sentence,label,label_id
In a third group the interpretation of the interfering intention is energetically denied by the Speaker.,passive,0
"A number of interesting investigations have not unnaturally been stimulated by this remarkable discovery, and researches on the properties inherent in the gall of healthy animals of various kinds have been recently carried out by Dr. Neufeld, of the Institute for infectious diseases in Berlin, which are, however, of a too technical nature to deal with here.",passive,0
Any failing of this nature may be corrected by practice.,passive,0
My satisfaction is somewhat dashed by the thought that these new parts fall short of expectation.,passive,0
"The place was immediately occupied by Masséna ’ s Famished troops, who found it not entirely destitute of eatables, as seemed only too probable judging by previous experience, although much of the food had been destroyed by Wellington ’ s orders.",passive,0
The earliest form taken by the instinct of self-preservation and the revolt against death can hardly be called by a milder name than swaggering.,passive,0
The lull in 1840 may be explained by the fact that intending Emigrants in those regions were waiting for favorable news from their relatives and friends who had gone the preceding year.,passive,0
"On the 22nd of last month a surprising prodigy of nature was seen by many persons at Büderich, a village between Unna and Werl.",passive,0
"The children, however, were not dispossessed by this precaution, finding Ingress and Egress through the window.",passive,0
"For instance, a lesson in tracing the Lode in a grass covered country was taught me many years ago by an old Prospector who had struck good gold in the Reef at a point some distance to the east of what had been considered the true course.",passive,0
"In this region they had been led by Joshua, Moses being only permitted to catch a distant glimpse of the promised land.",passive,0
"If, on the other hand, it is necessary to make communications over greater distances or longer periods of time, sound signs must be replaced by more permanent forms.",passive,0
The disregard of the people for bodily Cleanliness is only matched by their contempt for those elaborate Sanitary arrangements which in most European countries have done so much to make it possible for us miserable mortals to forget the humiliating physical necessities of our daily lives.,passive,0
"The Redbreast, according to one popular legend, was commissioned by the Deity to carry a drop of water to the souls of Unbaptized infants in hell, and its breast was singed in piercing the flames.",passive,0
He was further reassured by a jolly laugh that rang out just as he reached the steps leading up to the veranda.,passive,0
"Every bachelor quarters on the Isthmus, completely screened in, is entered by two or three Screen-Doors, none of which is or can be locked.",passive,0
It was vaguely lighted by two Police-Lanterns.,passive,0
All these schemes were frustrated by Russian diplomacy.,passive,0
In 1429 the town of Budissin was besieged by the Hussites.,passive,0
“ I have been delayed by the accidents of travel.,passive,0
For the acts of his Consulship he was brought to trial by the Tribunes M. Duillius and C. Sicinius.,passive,0
Disestablishment by statute in Virginia had been followed by similar action in all States where the established church held.,passive,0
"Each social experiment is thus tested by a few people, given wide publicity, that it may be observed and discussed by the bulk of the citizens before the public prudently makes up its mind whether or not it is wise to incorporate it into the functions of government.",passive,0
"For, on account of false notions of the strengthening effect of meat, too much meat is used by young and old, and by children, and this is harmful.",passive,0
We have been called here by a genuine impulse of the heart.,passive,0
He is only disclosed by his pallor and his gentleness.,passive,0
"The eye of the traveller is wearied by the grey monotony of these arid mountains and desert Tablelands, and his feet are cut and bruised by the sharp stones over which he has painfully to pick his steps.",passive,0
